Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
20/08/2018,65.00,65.50,64.75,65.00, +0.50, +0.78,"16,886,560","1,100,016.75"
17/08/2018,65.00,65.50,64.50,64.50, -0.25, -0.39,"18,605,293","1,207,754.26"
16/08/2018,64.75,65.00,64.00,64.75, 0.00, 0.00,"20,926,140","1,349,292.73"
15/08/2018,65.00,65.25,64.75,64.75, -0.75, -1.15,"15,652,249","1,016,436.40"
14/08/2018,65.25,65.50,64.50,65.50, 0.00, 0.00,"22,803,011","1,484,969.28"
10/08/2018,65.50,66.00,65.25,65.50, 0.00, 0.00,"16,638,573","1,090,783.55"
09/08/2018,66.25,66.50,65.50,65.50, -0.75, -1.13,"16,404,530","1,082,837.25"
08/08/2018,65.25,66.25,65.25,66.25, +0.75, +1.15,"14,585,513","960,810.20"
07/08/2018,65.50,66.25,65.25,65.50, +0.25, +0.38,"13,547,221","890,712.60"
06/08/2018,66.50,66.50,65.25,65.25, -1.00, -1.51,"20,134,948","1,321,455.76"
03/08/2018,66.00,66.50,65.75,66.25, +0.25, +0.38,"13,658,387","903,548.57"
02/08/2018,66.50,66.75,65.25,66.00, -1.00, -1.49,"28,711,575","1,889,629.70"
01/08/2018,66.25,67.00,66.00,67.00, +0.75, +1.13,"32,091,729","2,136,905.06"
